epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.59316,3.49032,5.66407,4.36887,0,0,0,0,3.37866,5.96463,4.15904,0,0,0
2,2.81719,2.92249,5.71582,4.39277,0,0,0,0,3.37866,5.9646,4.15919,1.17822e-06,1.17822e-06,1.17822e-06
3,3.97377,2.85096,5.62786,4.49075,0,0,0,0,3.37867,5.96463,4.15935,2.33288e-06,2.33288e-06,2.33288e-06
4,5.19651,3.30373,5.55999,4.29849,0,0,0,0,3.37868,5.96468,4.15948,3.46397e-06,3.46397e-06,3.46397e-06
5,6.31552,2.94792,5.5779,4.24196,0,0,0,0,3.37867,5.96473,4.15962,4.5715e-06,4.5715e-06,4.5715e-06
6,7.45184,3.01596,5.48437,4.30256,0,0,0,0,3.37866,5.96478,4.15975,5.65548e-06,5.65548e-06,5.65548e-06
7,8.62347,3.0409,5.52895,4.24096,0,0,0,0,3.37865,5.96472,4.15987,6.71588e-06,6.71588e-06,6.71588e-06
8,9.81655,3.11027,5.82524,4.24436,0,0,0,0,3.37862,5.96471,4.16001,7.75273e-06,7.75273e-06,7.75273e-06
9,10.9656,3.69549,5.85169,4.23328,0,0,0,0,3.37858,5.96495,4.16015,8.76602e-06,8.76602e-06,8.76602e-06
10,12.0805,3.23085,5.68144,4.25035,0,0,0,0,3.37854,5.96489,4.16028,9.75574e-06,9.75574e-06,9.75574e-06
11,13.3153,3.60032,5.65166,4.2864,0,0,0,0,3.37849,5.96491,4.16041,1.07219e-05,1.07219e-05,1.07219e-05
12,14.4971,3.46066,5.78244,4.2541,0,0,0,0,3.37846,5.96508,4.16053,1.16645e-05,1.16645e-05,1.16645e-05
13,15.6667,3.84586,5.55155,4.28526,0,0,0,0,3.37839,5.96516,4.16063,1.25835e-05,1.25835e-05,1.25835e-05
14,16.9163,3.16857,5.57054,4.27024,0,0,0,0,3.37835,5.96551,4.16076,1.3479e-05,1.3479e-05,1.3479e-05
15,18.1064,3.31522,5.68325,4.47123,0,0,0,0,3.37831,5.96566,4.16088,1.43509e-05,1.43509e-05,1.43509e-05
16,19.4365,2.95309,5.42894,4.2743,0,0,0,0,3.37827,5.9656,4.16101,1.51993e-05,1.51993e-05,1.51993e-05
17,20.6365,3.1812,5.56631,4.37082,0,0,0,0,3.37823,5.96559,4.16113,1.60241e-05,1.60241e-05,1.60241e-05
18,21.9575,3.01193,5.51175,4.33999,0,0,0,0,3.37823,5.96559,4.16113,1.68253e-05,1.68253e-05,1.68253e-05
19,23.2362,3.41242,5.50978,4.19096,0,0,0,0,3.37814,5.96639,4.16136,1.7603e-05,1.7603e-05,1.7603e-05
20,24.32,2.88202,5.48426,4.26503,0,0,0,0,3.37814,5.96639,4.16136,1.83571e-05,1.83571e-05,1.83571e-05
21,25.5226,3.09214,5.65567,4.30778,0,0,0,0,3.37804,5.96633,4.16157,1.90876e-05,1.90876e-05,1.90876e-05
22,26.6514,3.25113,5.45219,4.3259,0,0,0,0,3.37804,5.96633,4.16157,1.97946e-05,1.97946e-05,1.97946e-05
23,27.8309,3.48504,5.67232,4.27879,0,0,0,0,3.37795,5.96657,4.16181,2.0478e-05,2.0478e-05,2.0478e-05
24,28.9413,3.21287,5.5384,4.22904,0,0,0,0,3.37795,5.96657,4.16181,2.11379e-05,2.11379e-05,2.11379e-05
25,30.0968,3.53242,5.52401,4.21447,0,0,0,0,3.37787,5.9674,4.16203,2.17741e-05,2.17741e-05,2.17741e-05
26,31.2695,3.19408,5.57572,4.23544,0,0,0,0,3.37787,5.9674,4.16203,2.23869e-05,2.23869e-05,2.23869e-05
27,32.389,3.35135,5.39163,4.26381,0,0,0,0,3.37778,5.968,4.16226,2.2976e-05,2.2976e-05,2.2976e-05
28,33.4982,3.40134,5.39052,4.27181,0,0,0,0,3.37778,5.968,4.16226,2.35417e-05,2.35417e-05,2.35417e-05
29,34.7583,3.28598,5.41439,4.33912,0,0,0,0,3.37767,5.96831,4.16246,2.40837e-05,2.40837e-05,2.40837e-05
30,35.9106,3.4369,5.59718,4.29191,0,0,0,0,3.37767,5.96831,4.16246,2.46022e-05,2.46022e-05,2.46022e-05
31,37.0076,3.41684,5.59492,4.22851,0,0,0,0,3.37752,5.96834,4.16264,2.50971e-05,2.50971e-05,2.50971e-05
32,38.1061,3.44589,5.56425,4.32256,0,0,0,0,3.37752,5.96834,4.16264,2.55685e-05,2.55685e-05,2.55685e-05
33,39.1561,3.57578,5.48133,4.37711,0,0,0,0,3.37739,5.9687,4.16279,2.60163e-05,2.60163e-05,2.60163e-05
34,40.163,3.65362,5.63206,4.22176,0,0,0,0,3.37739,5.9687,4.16279,2.64405e-05,2.64405e-05,2.64405e-05
35,41.2553,3.56862,5.52091,4.2561,0,0,0,0,3.37725,5.96951,4.16296,2.68412e-05,2.68412e-05,2.68412e-05
36,42.2716,2.97716,5.44905,4.24897,0,0,0,0,3.37725,5.96951,4.16296,2.72183e-05,2.72183e-05,2.72183e-05
37,43.3253,3.29854,5.60259,4.22602,0,0,0,0,3.37709,5.9694,4.1631,2.75718e-05,2.75718e-05,2.75718e-05
38,44.4307,3.38621,5.58313,4.26106,0,0,0,0,3.37709,5.9694,4.1631,2.79018e-05,2.79018e-05,2.79018e-05
39,45.724,3.25603,5.56175,4.30944,0,0,0,0,3.37691,5.96974,4.16324,2.82082e-05,2.82082e-05,2.82082e-05
40,47.1201,3.3949,5.49464,4.32841,0,0,0,0,3.37691,5.96974,4.16324,2.84911e-05,2.84911e-05,2.84911e-05
